"","X","AlertCategory","NetworkEventType","NetworkInteractionType","DataTransferVolume_IN","DataTransferVolume_OUT","TransactionsPerSession","NetworkAccessFrequency","UserActivityLevel","SystemAccessRate","SessionIntegrityCheck","ResourceUtilizationFlag","SecurityRiskLevel","ResponseTime","Classification"
"258374",269110,"Warning","Policy_Violation","Anomalous",136160499,144565415,32906,19368,6,3,"False","False",137292893,24.96779,"Normal"
"480177",500190,"Warning","PolicyViolation","Suspicious",130431686,153028810,34152,32484,5,8,"True","False",211384417,33.71058,"Normal"
"377955",393755,"Warning","PolicyViolation","Suspicious",135405512,178258028,38336,42004,5,5,"False","False",227727726,22.73317,"Normal"
"269047",280219,"Warning","NormalOperation","Anomalous",134375403,146983103,34165,35896,6,NA,"False","False",177291909,28.87936,"Normal"
"75522",78611,"Warning","PolicyViolation","Elevated",135377017,201452288,46013,40611,7,6,"True","False",132629917,27.0977,"Normal"
"23501",24467,"Warning","PolicyViolation","Anomalous",126617443,138620566,29959,23205,5,5,"True","False",153758065,27.16328,"Normal"
"43404",45194,"Warning","PolicyViolation","Suspicious",123264648,158526275,34633,-1,5,4,"True","False",216032602,25.61316,"Normal"
"165676",172528,"Informational","PolicyViolation","Suspicious",126115062,145339008,32266,40443,5,NA,"False","False",184459762,20.05475,"Normal"
"217146",226194,"Warning","PolicyViolation","Anomalous",133895532,156121223,33872,41939,5,5,"False","False",146121320,21.17351,"Normal"
"490736",511177,"Warning","NormalOperation","Suspicious",129180999,177493923,41554,43577,7,5,"True","False",181199848,99999,"Normal"
"252",269,"Warning","ThreatDetected","Suspicious",120125940,129190275,26086,34045,2,5,"True","True",151374498,19.01523,"Normal"
"441462",459868,"Warning","Policy_Violation","Anomalous",131254852,145063959,32945,21079,6,NA,"True","False",197509643,30.1385,"Normal"
"305473",318141,"Warning","PolicyViolation","Elevated",131610110,198183380,42342,-1,5,4,"True","True",168230567,29.2767,"Normal"
"295332",307596,"Warning","PolicyViolation","Suspicious",125880583,177952630,39299,33994,6,5,"False","False",129773812,25.73951,"Normal"
"419524",437057,"Warning","PolicyViolation","Anomalous",136108913,110971844,25977,18377,5,NA,"False","False",178185342,40.77265,"Normal"
"248028",258336,"Warning","PolicyViolation","Anomalous",129839247,133175442,29609,28854,5,5,"True","False",189584683,30.55522,"Normal"
